"Date and Time";"ec_state";"EC da água";"Médai do EC";"Hora lig 1";"Hora lig 2";"Hora lig 3"
"2025-10-13 15:48:03";"7";"3,77";"3,74";"0";"0";"0"
"2025-10-13 15:38:03";"7";"3,77";"3,74";"0";"0";"0"
"2025-10-13 15:28:03";"7";"3,76";"3,74";"0";"0";"0"
"2025-10-13 15:18:03";"7";"3,75";"3,74";"0";"0";"0"
"2025-10-13 15:08:03";"7";"3,74";"3,74";"0";"0";"0"
"2025-10-13 15:07:57";"7";"3,74";"3,74";"0";"0";"0"
"2025-10-13 14:58:01";"7";"3,77";"3,73";"0";"0";"0"
"2025-10-13 14:48:04";"7";"3,77";"3,73";"0";"0";"0"
"2025-10-13 14:38:01";"7";"3,76";"3,73";"0";"0";"0"
"2025-10-13 14:28:01";"7";"3,76";"3,73";"0";"0";"0"
"2025-10-13 14:18:01";"7";"3,75";"3,73";"0";"0";"0"
"2025-10-13 14:08:01";"7";"3,74";"3,73";"0";"0";"0"
"2025-10-13 13:58:01";"7";"3,73";"3,73";"0";"0";"0"
"2025-10-13 13:57:57";"7";"3,73";"3,73";"0";"0";"0"
"2025-10-13 13:45:35";"7";"3,75";"3,73";"0";"0";"0"
"2025-10-13 13:35:35";"7";"3,75";"3,73";"0";"0";"0"
"2025-10-13 13:25:35";"7";"3,75";"3,73";"0";"0";"0"
"2025-10-13 13:15:35";"7";"3,74";"3,73";"0";"0";"0"
"2025-10-13 13:05:36";"7";"3,74";"3,73";"0";"0";"0"
"2025-10-13 12:55:36";"7";"3,74";"3,73";"0";"0";"0"
"2025-10-13 12:52:48";"7";"3,73";"3,73";"0";"0";"0"
"2025-10-13 12:52:43";"7";"3,73";"3,73";"0";"0";"0"
"2025-10-13 12:47:25";"0";"3,72";"0";"0";"0";"0"
"2025-10-13 12:44:49";"7";"3,72";"3,73";"0";"0";"0"
"2025-10-13 12:34:49";"7";"3,73";"3,73";"0";"0";"0"
"2025-10-13 12:31:49";"7";"3,73";"3,73";"0";"0";"0"
"2025-10-13 12:24:49";"5";"1,48";"1,48";"0";"0";"0"
"2025-10-13 12:14:49";"5";"1,48";"1,48";"0";"0";"0"
"2025-10-13 12:04:49";"5";"1,48";"1,48";"0";"0";"0"
"2025-10-13 11:54:49";"5";"1,47";"1,48";"0";"0";"0"
"2025-10-13 11:44:49";"5";"1,47";"1,48";"0";"0";"0"
"2025-10-13 11:34:49";"5";"1,48";"1,48";"0";"0";"0"
"2025-10-13 11:31:49";"5";"1,48";"1,48";"0";"0";"0"
"2025-10-13 11:24:49";"5";"1,48";"1,48";"0";"0";"0"
"2025-10-13 11:14:49";"5";"1,48";"1,48";"0";"0";"0"
"2025-10-13 11:04:49";"5";"1,48";"1,48";"0";"0";"0"
"2025-10-13 10:54:49";"5";"1,48";"1,48";"0";"0";"0"
"2025-10-13 10:44:49";"5";"1,48";"1,48";"0";"0";"0"
"2025-10-13 10:34:49";"5";"1,48";"1,48";"0";"0";"0"
"2025-10-13 10:31:49";"5";"1,48";"1,48";"0";"0";"0"
"2025-10-13 10:24:49";"5";"1,49";"1,48";"0";"0";"0"
"2025-10-13 10:14:49";"5";"1,48";"1,48";"0";"0";"0"
"2025-10-13 10:04:49";"5";"1,47";"1,48";"0";"0";"0"
"2025-10-13 09:54:49";"5";"1,47";"1,48";"0";"0";"0"
